# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1274669035;1346086945;1;1;1;1
1274669035;1346086945;2;1;1;2757
1274669035;1346086945;3;1;1;4294967259
1274669035;1346086945;4;4;2;96524
1274669035;1346086945;5;1;1;251
1274669230;1346086945;1;1;1;1
1274669234;1346086945;2;1;1;2759
1274669234;1346086945;3;1;1;4294967261
1274669234;1346086945;4;4;2;96522
1274669234;1346086945;5;1;1;251
1274669430;1346086945;1;1;1;1
1274669430;1346086945;2;1;1;2761
1274669430;1346086945;3;1;1;4294967263
1274669430;1346086945;4;4;2;96520
1274669430;1346086945;5;1;1;251
1274669640;1346086945;1;1;1;6
1274669640;1346086945;2;1;1;2763
1274669640;1346086945;3;1;1;4294967265
1274669640;1346086945;4;4;2;96518
1274669640;1346086945;5;1;1;251
1274669859;1346086945;1;1;1;6
1274669859;1346086945;2;1;1;2763
1274669863;1346086945;3;1;1;4294967265
1274669863;1346086945;4;4;2;96517
1274669863;1346086945;5;1;1;251
1274670840;1346086945;1;1;1;24
1274670840;1346086945;2;1;1;2791
1274670840;1346086945;3;1;1;4294967293
1274670840;1346086945;4;4;2;96485
1274670840;1346086945;5;1;1;251
1274671230;1346086945;1;1;1;24
1274671230;1346086945;2;1;1;2803
1274671230;1346086945;3;1;1;9
1274671230;1346086945;4;4;2;96471
1274671230;1346086945;5;1;1;251
1274673241;1346086945;1;1;1;75
1274673241;1346086945;2;1;1;2929
1274673256;1346086945;3;1;1;135
1274673256;1346086945;4;4;2;96327
1274673256;1346086945;5;1;1;251
1274673459;1346086945;1;1;1;75
1274673459;1346086945;2;1;1;2949
1274673459;1346086945;3;1;1;155
1274673460;1346086945;4;4;2;96304
1274673460;1346086945;5;1;1;251
1274673630;1346086945;1;1;1;75
1274673630;1346086945;2;1;1;2971
1274673630;1346086945;3;1;1;177
1274673630;1346086945;4;4;2;96278
1274673630;1346086945;5;1;1;251
1274673842;1346086945;1;1;1;45
1274673842;1346086945;2;1;1;3008
1274673842;1346086945;3;1;1;214
1274673844;1346086945;4;4;2;96236
1274673844;1346086945;5;1;1;251
1274674045;1346086945;1;1;1;45
1274674045;1346086945;2;1;1;3031
1274674045;1346086945;3;1;1;237
1274674045;1346086945;4;4;2;96209
1274674045;1346086945;5;1;1;251
1274674241;1346086945;1;1;1;106
1274674241;1346086945;2;1;1;3057
1274674241;1346086945;3;1;1;263
1274674241;1346086945;4;4;2;96180
1274674241;1346086945;5;1;1;251
1274675859;1346086945;1;1;1;120
1274675859;1346086945;2;1;1;3222
1274675859;1346086945;3;1;1;428
1274675862;1346086945;4;4;2;95990
1274675863;1346086945;5;1;1;251
1274676030;1346086945;1;1;1;120
1274676030;1346086945;2;1;1;3244
1274676030;1346086945;3;1;1;450
1274676030;1346086945;4;4;2;95965
1274676030;1346086945;5;1;1;251
1274677230;1346086945;1;1;1;14
1274677230;1346086945;2;1;1;3392
1274677230;1346086945;3;1;1;598
1274677230;1346086945;4;4;2;95795
1274677230;1346086945;5;1;1;251
1274677431;1346086945;1;1;1;88
1274677431;1346086945;2;1;1;3417
1274677431;1346086945;3;1;1;623
1274677431;1346086945;4;4;2;95767
1274677433;1346086945;5;1;1;251
1274677646;1346086945;1;1;1;88
1274677646;1346086945;2;1;1;3441
1274677646;1346086945;3;1;1;647
1274677646;1346086945;4;4;2;95739
1274677646;1346086945;5;1;1;251
1274677840;1346086945;1;1;1;11
1274677840;1346086945;2;1;1;3464
1274677841;1346086945;3;1;1;670
1274677841;1346086945;4;4;2;95713
1274677841;1346086945;5;1;1;251
1274678041;1346086945;1;1;1;11
1274678041;1346086945;2;1;1;3489
1274678041;1346086945;3;1;1;695
1274678041;1346086945;4;4;2;95685
1274678041;1346086945;5;1;1;251
1274678430;1346086945;1;1;1;72
1274678430;1346086945;2;1;1;3536
1274678430;1346086945;3;1;1;742
1274678430;1346086945;4;4;2;95631
1274678430;1346086945;5;1;1;251
1274678629;1346086945;1;1;1;72
1274678629;1346086945;2;1;1;3558
1274678629;1346086945;3;1;1;764
1274678629;1346086945;4;4;2;95606
1274678629;1346086945;5;1;1;251
1274678888;1346086945;1;1;1;72
1274678888;1346086945;2;1;1;3577
1274678889;1346086945;3;1;1;783
1274678889;1346086945;4;4;2;95584
1274678889;1346086945;5;1;1;251
1274679041;1346086945;1;1;1;9
1274679054;1346086945;2;1;1;3595
1274679054;1346086945;3;1;1;801
1274679054;1346086945;4;4;2;95564
1274679054;1346086945;5;1;1;251
1274679241;1346086945;1;1;1;9
1274679241;1346086945;2;1;1;3611
1274679241;1346086945;3;1;1;817
1274679241;1346086945;4;4;2;95545
1274679241;1346086945;5;1;1;251
1274679457;1346086945;1;1;1;9
1274679457;1346086945;2;1;1;3627
1274679457;1346086945;3;1;1;833
1274679457;1346086945;4;4;2;95527
1274679457;1346086945;5;1;1;251
1274679630;1346086945;1;1;1;58
1274679630;1346086945;2;1;1;3643
1274679631;1346086945;3;1;1;849
1274679631;1346086945;4;4;2;95509
1274679631;1346086945;5;1;1;251
1274679830;1346086945;1;1;1;58
1274679830;1346086945;2;1;1;3657
1274679830;1346086945;3;1;1;863
1274679830;1346086945;4;4;2;95493
1274679830;1346086945;5;1;1;251
1274680089;1346086945;1;1;1;6
1274680089;1346086945;2;1;1;3670
1274680089;1346086945;3;1;1;876
1274680089;1346086945;4;4;2;95478
1274680089;1346086945;5;1;1;251
1274680241;1346086945;1;1;1;6
1274680241;1346086945;2;1;1;3681
1274680241;1346086945;3;1;1;887
1274680250;1346086945;4;4;2;95465
1274680250;1346086945;5;1;1;251
1274681030;1346086945;1;1;1;31
1274681030;1346086945;2;1;1;3709
1274681030;1346086945;3;1;1;915
1274681030;1346086945;4;4;2;95433
1274681030;1346086945;5;1;1;251
1274681289;1346086945;1;1;1;2
1274681289;1346086945;2;1;1;3712
1274681289;1346086945;3;1;1;918
1274681289;1346086945;4;4;2;95430
1274681289;1346086945;5;1;1;251
1274681441;1346086945;1;1;1;2
1274681441;1346086945;2;1;1;3713
1274681441;1346086945;3;1;1;919
1274681441;1346086945;4;4;2;95429
1274681447;1346086945;5;1;1;251
1274681830;1346086945;1;1;1;4
1274681830;1346086945;2;1;1;3712
1274681830;1346086945;3;1;1;918
1274681830;1346086945;4;4;2;95430
1274681830;1346086945;5;1;1;251
1274682030;1346086945;1;1;1;4
1274682030;1346086945;2;1;1;3709
1274682030;1346086945;3;1;1;915
1274682030;1346086945;4;4;2;95433
1274682030;1346086945;5;1;1;251
1274682230;1346086945;1;1;1;4
1274682230;1346086945;2;1;1;3708
1274682230;1346086945;3;1;1;914
1274682230;1346086945;4;4;2;95435
1274682232;1346086945;5;1;1;251
1274682488;1346086945;1;1;1;4294967294
1274682488;1346086945;2;1;1;3706
1274682488;1346086945;3;1;1;912
1274682488;1346086945;4;4;2;95437
1274682489;1346086945;5;1;1;251
1274682640;1346086945;1;1;1;4294967294
1274682640;1346086945;2;1;1;3703
1274682640;1346086945;3;1;1;909
1274682640;1346086945;4;4;2;95440
1274682640;1346086945;5;1;1;251
1274683840;1346086945;1;1;1;4294967294
1274683840;1346086945;2;1;1;3690
1274683840;1346086945;3;1;1;896
1274683840;1346086945;4;4;2;95455
1274683840;1346086945;5;1;1;251
1274684041;1346086945;1;1;1;4294967294
1274684041;1346086945;2;1;1;3688
1274684041;1346086945;3;1;1;894
1274684041;1346086945;4;4;2;95457
1274684041;1346086945;5;1;1;251
1274684244;1346086945;1;1;1;4294967290
1274684244;1346086945;2;1;1;3687
1274684244;1346086945;3;1;1;893
1274684244;1346086945;4;4;2;95458
1274684245;1346086945;5;1;1;251
1274684430;1346086945;1;1;1;4294967290
1274684430;1346086945;2;1;1;3688
1274684430;1346086945;3;1;1;894
1274684430;1346086945;4;4;2;95457
1274684430;1346086945;5;1;1;251
1274684641;1346086945;1;1;1;1
1274684641;1346086945;2;1;1;3689
1274684641;1346086945;3;1;1;895
1274684641;1346086945;4;4;2;95456
1274684641;1346086945;5;1;1;251
1274685444;1346086945;1;1;1;10
1274685444;1346086945;2;1;1;3706
1274685445;1346086945;3;1;1;912
1274685445;1346086945;4;4;2;95437
1274685445;1346086945;5;1;1;251
1274685841;1346086945;1;1;1;4
1274685841;1346086945;2;1;1;3718
1274685841;1346086945;3;1;1;924
1274685841;1346086945;4;4;2;95423
1274685841;1346086945;5;1;1;251
1274687844;1346086945;1;1;1;22
1274687844;1346086945;2;1;1;3777
1274687845;1346086945;3;1;1;983
1274687845;1346086945;4;4;2;95356
1274687845;1346086945;5;1;1;251
1274688030;1346086945;1;1;1;1
1274688030;1346086945;2;1;1;3780
1274688030;1346086945;3;1;1;986
1274688030;1346086945;4;4;2;95352
1274688030;1346086945;5;1;1;251
1274688240;1346086945;1;1;1;1
1274688240;1346086945;2;1;1;3783
1274688240;1346086945;3;1;1;989
1274688240;1346086945;4;4;2;95349
1274688240;1346086945;5;1;1;251
1274689062;1346086945;1;1;1;7
1274689081;1346086945;2;1;1;3786
1274689081;1346086945;3;1;1;992
1274689081;1346086945;4;4;2;95345
1274689081;1346086945;5;1;1;251
1274689240;1346086945;1;1;1;0
1274689240;1346086945;2;1;1;3785
1274689240;1346086945;3;1;1;991
1274689240;1346086945;4;4;2;95347
1274689240;1346086945;5;1;1;251
1274689440;1346086945;1;1;1;0
1274689440;1346086945;2;1;1;3783
1274689440;1346086945;3;1;1;989
1274689440;1346086945;4;4;2;95349
1274689440;1346086945;5;1;1;251
1274689663;1346086945;1;1;1;0
1274689663;1346086945;2;1;1;3780
1274689665;1346086945;3;1;1;986
1274689665;1346086945;4;4;2;95352
1274689665;1346086945;5;1;1;251
1274689830;1346086945;1;1;1;4294967290
1274689830;1346086945;2;1;1;3779
1274689830;1346086945;3;1;1;985
1274689830;1346086945;4;4;2;95354
1274689830;1346086945;5;1;1;251
1274690247;1346086945;1;1;1;4294967290
1274690247;1346086945;2;1;1;3774
1274690247;1346086945;3;1;1;980
1274690247;1346086945;4;4;2;95359
1274690247;1346086945;5;1;1;251
1274690440;1346086945;1;1;1;4294967294
1274690440;1346086945;2;1;1;3772
1274690442;1346086945;3;1;1;978
1274690442;1346086945;4;4;2;95361
1274690442;1346086945;5;1;1;251
1274690640;1346086945;1;1;1;4294967294
1274690640;1346086945;2;1;1;3771
1274690640;1346086945;3;1;1;977
1274690640;1346086945;4;4;2;95363
1274690640;1346086945;5;1;1;251
1274690859;1346086945;1;1;1;4294967294
1274690859;1346086945;2;1;1;3770
1274690859;1346086945;3;1;1;976
1274690859;1346086945;4;4;2;95364
1274690859;1346086945;5;1;1;251
1274691030;1346086945;1;1;1;4294967290
1274691030;1346086945;2;1;1;3770
1274691031;1346086945;3;1;1;976
1274691031;1346086945;4;4;2;95364
1274691031;1346086945;5;1;1;251
1274691236;1346086945;1;1;1;4294967290
1274691236;1346086945;2;1;1;3770
1274691236;1346086945;3;1;1;976
1274691237;1346086945;4;4;2;95364
1274691237;1346086945;5;1;1;251
1274691446;1346086945;1;1;1;0
1274691446;1346086945;2;1;1;3770
1274691446;1346086945;3;1;1;976
1274691446;1346086945;4;4;2;95364
1274691446;1346086945;5;1;1;251
1274691641;1346086945;1;1;1;0
1274691641;1346086945;2;1;1;3770
1274691641;1346086945;3;1;1;976
1274691642;1346086945;4;4;2;95364
1274691663;1346086945;5;1;1;251
1274691825;1346086945;1;1;1;0
1274691825;1346086945;2;1;1;3770
1274691825;1346086945;3;1;1;976
1274691825;1346086945;4;4;2;95364
1274691825;1346086945;5;1;1;251
1274692059;1346086945;1;1;1;1
1274692059;1346086945;2;1;1;3771
1274692059;1346086945;3;1;1;977
1274692059;1346086945;4;4;2;95363
1274692059;1346086945;5;1;1;251
1274692230;1346086945;1;1;1;1
1274692230;1346086945;2;1;1;3770
1274692230;1346086945;3;1;1;976
1274692230;1346086945;4;4;2;95364
1274692231;1346086945;5;1;1;251
1274692432;1346086945;1;1;1;1
1274692433;1346086945;2;1;1;3770
1274692433;1346086945;3;1;1;976
1274692433;1346086945;4;4;2;95364
1274692433;1346086945;5;1;1;251
1274692646;1346086945;1;1;1;0
1274692646;1346086945;2;1;1;3769
1274692646;1346086945;3;1;1;975
1274692646;1346086945;4;4;2;95365
1274692646;1346086945;5;1;1;251
1274692841;1346086945;1;1;1;0
1274692841;1346086945;2;1;1;3768
1274692841;1346086945;3;1;1;974
1274692841;1346086945;4;4;2;95366
1274692842;1346086945;5;1;1;251
1274693041;1346086945;1;1;1;0
1274693041;1346086945;2;1;1;3768
1274693041;1346086945;3;1;1;974
1274693041;1346086945;4;4;2;95366
1274693041;1346086945;5;1;1;251
1274693259;1346086945;1;1;1;4294967293
1274693259;1346086945;2;1;1;3766
1274693259;1346086945;3;1;1;972
1274693259;1346086945;4;4;2;95368
1274693259;1346086945;5;1;1;251
1274693430;1346086945;1;1;1;4294967293
1274693430;1346086945;2;1;1;3765
1274693430;1346086945;3;1;1;971
1274693430;1346086945;4;4;2;95369
1274693430;1346086945;5;1;1;251
1274693630;1346086945;1;1;1;4294967293
1274693630;1346086945;2;1;1;3763
1274693630;1346086945;3;1;1;969
1274693630;1346086945;4;4;2;95372
1274693631;1346086945;5;1;1;251
1274693846;1346086945;1;1;1;4294967291
1274693846;1346086945;2;1;1;3759
1274693846;1346086945;3;1;1;965
1274693846;1346086945;4;4;2;95376
1274693846;1346086945;5;1;1;251
1274694041;1346086945;1;1;1;4294967291
1274694041;1346086945;2;1;1;3756
1274694041;1346086945;3;1;1;962
1274694041;1346086945;4;4;2;95380
1274694041;1346086945;5;1;1;251
1274694241;1346086945;1;1;1;4294967291
1274694241;1346086945;2;1;1;3753
1274694241;1346086945;3;1;1;959
