# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1224845390;1346086945;1;1;1;2
1224845390;1346086945;2;1;1;2835
1224845390;1346086945;3;1;1;33
1224845390;1346086945;4;4;2;98061
1224845390;1346086945;5;1;1;132
1224845461;1346086945;1;1;1;2
1224845461;1346086945;2;1;1;2836
1224845463;1346086945;3;1;1;34
1224845463;1346086945;4;4;2;98060
1224845463;1346086945;5;1;1;132
1224845633;1346086945;1;1;1;2
1224845633;1346086945;2;1;1;2836
1224845633;1346086945;3;1;1;34
1224845633;1346086945;4;4;2;98060
1224845633;1346086945;5;1;1;132
1224845849;1346086945;1;1;1;2
1224845849;1346086945;2;1;1;2835
1224845849;1346086945;3;1;1;33
1224845849;1346086945;4;4;2;98061
1224845849;1346086945;5;1;1;132
1224846049;1346086945;1;1;1;2
1224846049;1346086945;2;1;1;2834
1224846049;1346086945;3;1;1;32
1224846051;1346086945;4;4;2;98062
1224846051;1346086945;5;1;1;132
1224846260;1346086945;1;1;1;2
1224846260;1346086945;2;1;1;2834
1224846260;1346086945;3;1;1;32
1224846260;1346086945;4;4;2;98062
1224846260;1346086945;5;1;1;132
1224846432;1346086945;1;1;1;4294967295
1224846432;1346086945;2;1;1;2833
1224846432;1346086945;3;1;1;31
1224846432;1346086945;4;4;2;98063
1224846432;1346086945;5;1;1;132
1224846632;1346086945;1;1;1;4294967295
1224846632;1346086945;2;1;1;2830
1224846632;1346086945;3;1;1;28
1224846634;1346086945;4;4;2;98067
1224846634;1346086945;5;1;1;132
1224846833;1346086945;1;1;1;4294967295
1224846833;1346086945;2;1;1;2824
1224846833;1346086945;3;1;1;22
1224846833;1346086945;4;4;2;98074
1224846833;1346086945;5;1;1;132
1224848249;1346086945;1;1;1;4
1224848249;1346086945;2;1;1;2825
1224848249;1346086945;3;1;1;23
1224848249;1346086945;4;4;2;98073
1224848249;1346086945;5;1;1;133
1224848660;1346086945;1;1;1;4
1224848660;1346086945;2;1;1;2834
1224848660;1346086945;3;1;1;32
1224848660;1346086945;4;4;2;98062
1224848661;1346086945;5;1;1;133
1224848849;1346086945;1;1;1;4
1224848849;1346086945;2;1;1;2845
1224848849;1346086945;3;1;1;43
1224848849;1346086945;4;4;2;98049
1224848849;1346086945;5;1;1;133
1224849832;1346086945;1;1;1;18
1224849832;1346086945;2;1;1;2932
1224849832;1346086945;3;1;1;130
1224849832;1346086945;4;4;2;97948
1224849832;1346086945;5;1;1;133
1224850032;1346086945;1;1;1;71
1224850032;1346086945;2;1;1;2955
1224850032;1346086945;3;1;1;153
1224850032;1346086945;4;4;2;97921
1224850032;1346086945;5;1;1;133
1224850233;1346086945;1;1;1;71
1224850233;1346086945;2;1;1;2976
1224850233;1346086945;3;1;1;174
1224850233;1346086945;4;4;2;97896
1224850233;1346086945;5;1;1;133
1224850449;1346086945;1;1;1;71
1224850449;1346086945;2;1;1;2997
1224850449;1346086945;3;1;1;195
1224850449;1346086945;4;4;2;97872
1224850449;1346086945;5;1;1;133
1224851082;1346086945;1;1;1;11
1224851082;1346086945;2;1;1;3060
1224851082;1346086945;3;1;1;258
1224851082;1346086945;4;4;2;97798
1224851082;1346086945;5;1;1;133
1224852432;1346086945;1;1;1;91
1224852432;1346086945;2;1;1;3222
1224852432;1346086945;3;1;1;420
1224852432;1346086945;4;4;2;97609
1224852432;1346086945;5;1;1;134
1224852649;1346086945;1;1;1;91
1224852649;1346086945;2;1;1;3251
1224852649;1346086945;3;1;1;449
1224852649;1346086945;4;4;2;97575
1224852649;1346086945;5;1;1;134
1224852849;1346086945;1;1;1;15
1224852849;1346086945;2;1;1;3280
1224852849;1346086945;3;1;1;478
1224852849;1346086945;4;4;2;97542
1224852849;1346086945;5;1;1;134
1224853060;1346086945;1;1;1;15
1224853061;1346086945;2;1;1;3335
1224853062;1346086945;3;1;1;533
1224853062;1346086945;4;4;2;97477
1224853062;1346086945;5;1;1;134
1224853432;1346086945;1;1;1;85
1224853432;1346086945;2;1;1;3364
1224853432;1346086945;3;1;1;562
1224853432;1346086945;4;4;2;97443
1224853432;1346086945;5;1;1;134
1224853632;1346086945;1;1;1;85
1224853633;1346086945;2;1;1;3396
1224853633;1346086945;3;1;1;594
1224853633;1346086945;4;4;2;97406
1224853633;1346086945;5;1;1;134
1224853849;1346086945;1;1;1;85
1224853849;1346086945;2;1;1;3426
1224853852;1346086945;3;1;1;624
1224853852;1346086945;4;4;2;97371
1224853852;1346086945;5;1;1;134
1224854043;1346086945;1;1;1;15
1224854043;1346086945;2;1;1;3455
1224854043;1346086945;3;1;1;653
1224854043;1346086945;4;4;2;97338
1224854043;1346086945;5;1;1;134
1224854433;1346086945;1;1;1;15
1224854433;1346086945;2;1;1;3508
1224854433;1346086945;3;1;1;706
1224854433;1346086945;4;4;2;97276
1224854433;1346086945;5;1;1;134
1224854674;1346086945;1;1;1;94
1224854674;1346086945;2;1;1;3531
1224854674;1346086945;3;1;1;729
1224854676;1346086945;4;4;2;97249
1224854676;1346086945;5;1;1;134
1224854833;1346086945;1;1;1;94
1224854833;1346086945;2;1;1;3552
1224854833;1346086945;3;1;1;750
1224854833;1346086945;4;4;2;97225
1224854833;1346086945;5;1;1;134
1224855049;1346086945;1;1;1;9
1224855049;1346086945;2;1;1;3571
1224855049;1346086945;3;1;1;769
1224855049;1346086945;4;4;2;97203
1224855049;1346086945;5;1;1;134
1224855249;1346086945;1;1;1;9
1224855249;1346086945;2;1;1;3585
1224855249;1346086945;3;1;1;783
1224855249;1346086945;4;4;2;97187
1224855250;1346086945;5;1;1;134
1224855460;1346086945;1;1;1;9
1224855460;1346086945;2;1;1;3598
1224855460;1346086945;3;1;1;796
1224855460;1346086945;4;4;2;97172
1224855460;1346086945;5;1;1;134
1224855873;1346086945;1;1;1;41
1224855873;1346086945;2;1;1;3616
1224855873;1346086945;3;1;1;814
1224855873;1346086945;4;4;2;97151
1224855873;1346086945;5;1;1;135
1224856049;1346086945;1;1;1;41
1224856049;1346086945;2;1;1;3620
1224856049;1346086945;3;1;1;818
1224856049;1346086945;4;4;2;97146
1224856049;1346086945;5;1;1;134
1224856249;1346086945;1;1;1;2
1224856249;1346086945;2;1;1;3623
1224856249;1346086945;3;1;1;821
1224856249;1346086945;4;4;2;97143
1224856249;1346086945;5;1;1;134
1224856460;1346086945;1;1;1;2
1224856460;1346086945;2;1;1;3623
1224856460;1346086945;3;1;1;821
1224856460;1346086945;4;4;2;97143
1224856460;1346086945;5;1;1;135
1224856660;1346086945;1;1;1;2
1224856660;1346086945;2;1;1;3621
1224856660;1346086945;3;1;1;819
1224856660;1346086945;4;4;2;97145
1224856660;1346086945;5;1;1;135
1224856832;1346086945;1;1;1;0
1224856832;1346086945;2;1;1;3618
1224856832;1346086945;3;1;1;816
1224856832;1346086945;4;4;2;97148
1224856832;1346086945;5;1;1;135
1224857074;1346086945;1;1;1;0
1224857074;1346086945;2;1;1;3616
1224857074;1346086945;3;1;1;814
1224857074;1346086945;4;4;2;97151
1224857074;1346086945;5;1;1;135
1224857249;1346086945;1;1;1;0
1224857249;1346086945;2;1;1;3613
1224857249;1346086945;3;1;1;811
1224857249;1346086945;4;4;2;97154
1224857249;1346086945;5;1;1;135
1224857449;1346086945;1;1;1;4294967293
1224857450;1346086945;2;1;1;3610
1224857450;1346086945;3;1;1;808
1224857450;1346086945;4;4;2;97158
1224857450;1346086945;5;1;1;135
1224857660;1346086945;1;1;1;4294967293
1224857660;1346086945;2;1;1;3606
1224857660;1346086945;3;1;1;804
1224857660;1346086945;4;4;2;97162
1224857660;1346086945;5;1;1;135
1224858449;1346086945;1;1;1;4294967285
1224858449;1346086945;2;1;1;3601
1224858449;1346086945;3;1;1;799
1224858449;1346086945;4;4;2;97168
1224858449;1346086945;5;1;1;135
1224858649;1346086945;1;1;1;1
1224858650;1346086945;2;1;1;3603
1224858650;1346086945;3;1;1;801
1224858650;1346086945;4;4;2;97166
1224858650;1346086945;5;1;1;135
1224858860;1346086945;1;1;1;1
1224858860;1346086945;2;1;1;3605
1224858860;1346086945;3;1;1;803
1224858860;1346086945;4;4;2;97163
1224858860;1346086945;5;1;1;135
1224859032;1346086945;1;1;1;1
1224859032;1346086945;2;1;1;3608
1224859032;1346086945;3;1;1;806
1224859032;1346086945;4;4;2;97160
1224859032;1346086945;5;1;1;135
1224860061;1346086945;1;1;1;11
1224860061;1346086945;2;1;1;3624
1224860063;1346086945;3;1;1;822
1224860063;1346086945;4;4;2;97141
1224860063;1346086945;5;1;1;135
1224860249;1346086945;1;1;1;11
1224860249;1346086945;2;1;1;3629
1224860249;1346086945;3;1;1;827
1224860249;1346086945;4;4;2;97136
1224860249;1346086945;5;1;1;135
1224861449;1346086945;1;1;1;7
1224861449;1346086945;2;1;1;3648
1224861449;1346086945;3;1;1;846
1224861449;1346086945;4;4;2;97113
1224861449;1346086945;5;1;1;135
1224862260;1346086945;1;1;1;5
1224862260;1346086945;2;1;1;3654
1224862260;1346086945;3;1;1;852
1224862261;1346086945;4;4;2;97106
1224862261;1346086945;5;1;1;135
1224862432;1346086945;1;1;1;5
1224862432;1346086945;2;1;1;3654
1224862432;1346086945;3;1;1;852
1224862432;1346086945;4;4;2;97107
1224862432;1346086945;5;1;1;135
1224862632;1346086945;1;1;1;5
1224862632;1346086945;2;1;1;3653
1224862633;1346086945;3;1;1;851
1224862633;1346086945;4;4;2;97108
1224862633;1346086945;5;1;1;135
1224862833;1346086945;1;1;1;5
1224862833;1346086945;2;1;1;3651
1224862833;1346086945;3;1;1;849
1224862833;1346086945;4;4;2;97110
1224862834;1346086945;5;1;1;135
1224863053;1346086945;1;1;1;5
1224863053;1346086945;2;1;1;3651
1224863053;1346086945;3;1;1;849
1224863053;1346086945;4;4;2;97110
1224863053;1346086945;5;1;1;135
1224863249;1346086945;1;1;1;4294967293
1224863249;1346086945;2;1;1;3652
1224863249;1346086945;3;1;1;850
1224863249;1346086945;4;4;2;97109
1224863249;1346086945;5;1;1;135
1224863460;1346086945;1;1;1;4294967293
1224863460;1346086945;2;1;1;3651
1224863460;1346086945;3;1;1;849
1224863460;1346086945;4;4;2;97110
1224863480;1346086945;5;1;1;135
1224863633;1346086945;1;1;1;4294967293
1224863633;1346086945;2;1;1;3651
1224863633;1346086945;3;1;1;849
1224863633;1346086945;4;4;2;97110
1224863633;1346086945;5;1;1;135
1224863833;1346086945;1;1;1;0
1224863833;1346086945;2;1;1;3650
1224863833;1346086945;3;1;1;848
1224863833;1346086945;4;4;2;97111
1224863833;1346086945;5;1;1;135
1224864049;1346086945;1;1;1;0
1224864049;1346086945;2;1;1;3649
1224864049;1346086945;3;1;1;847
1224864049;1346086945;4;4;2;97112
1224864049;1346086945;5;1;1;135
1224864249;1346086945;1;1;1;0
1224864249;1346086945;2;1;1;3650
1224864249;1346086945;3;1;1;848
1224864249;1346086945;4;4;2;97111
1224864249;1346086945;5;1;1;135
1224864460;1346086945;1;1;1;0
1224864460;1346086945;2;1;1;3651
1224864460;1346086945;3;1;1;849
1224864460;1346086945;4;4;2;97110
1224864460;1346086945;5;1;1;135
1224864660;1346086945;1;1;1;0
1224864660;1346086945;2;1;1;3654
1224864660;1346086945;3;1;1;852
1224864660;1346086945;4;4;2;97107
1224864660;1346086945;5;1;1;135
1224864834;1346086945;1;1;1;0
1224864836;1346086945;2;1;1;3655
1224864836;1346086945;3;1;1;853
1224864836;1346086945;4;4;2;97105
1224864836;1346086945;5;1;1;134
1224865034;1346086945;1;1;1;3
1224865034;1346086945;2;1;1;3658
1224865034;1346086945;3;1;1;856
1224865034;1346086945;4;4;2;97102
1224865034;1346086945;5;1;1;134
1224865249;1346086945;1;1;1;3
1224865249;1346086945;2;1;1;3660
