# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1271921079;1346086945;1;1;1;4294967295
1271921079;1346086945;2;1;1;2799
1271921079;1346086945;3;1;1;1
1271921079;1346086945;4;4;2;96554
1271921079;1346086945;5;1;1;240
1271921230;1346086945;1;1;1;0
1271921235;1346086945;2;1;1;2801
1271921235;1346086945;3;1;1;3
1271921235;1346086945;4;4;2;96552
1271921235;1346086945;5;1;1;240
1271921431;1346086945;1;1;1;0
1271921431;1346086945;2;1;1;2801
1271921431;1346086945;3;1;1;3
1271921431;1346086945;4;4;2;96552
1271921431;1346086945;5;1;1;240
1271921650;1346086945;1;1;1;0
1271921650;1346086945;2;1;1;2802
1271921650;1346086945;3;1;1;4
1271921650;1346086945;4;4;2;96551
1271921650;1346086945;5;1;1;240
1271921863;1346086945;1;1;1;2
1271921863;1346086945;2;1;1;2805
1271921865;1346086945;3;1;1;7
1271921865;1346086945;4;4;2;96548
1271921865;1346086945;5;1;1;240
1271922063;1346086945;1;1;1;2
1271922063;1346086945;2;1;1;2807
1271922063;1346086945;3;1;1;9
1271922063;1346086945;4;4;2;96545
1271922063;1346086945;5;1;1;240
1271922230;1346086945;1;1;1;2
1271922230;1346086945;2;1;1;2813
1271922230;1346086945;3;1;1;15
1271922230;1346086945;4;4;2;96538
1271922230;1346086945;5;1;1;240
1271923230;1346086945;1;1;1;46
1271923230;1346086945;2;1;1;2880
1271923230;1346086945;3;1;1;82
1271923230;1346086945;4;4;2;96461
1271923232;1346086945;5;1;1;240
1271923430;1346086945;1;1;1;46
1271923430;1346086945;2;1;1;2898
1271923430;1346086945;3;1;1;100
1271923430;1346086945;4;4;2;96440
1271923430;1346086945;5;1;1;240
1271923630;1346086945;1;1;1;27
1271923630;1346086945;2;1;1;2917
1271923630;1346086945;3;1;1;119
1271923630;1346086945;4;4;2;96419
1271923630;1346086945;5;1;1;240
1271925052;1346086945;1;1;1;49
1271925052;1346086945;2;1;1;3058
1271925052;1346086945;3;1;1;260
1271925052;1346086945;4;4;2;96257
1271925054;1346086945;5;1;1;240
1271925250;1346086945;1;1;1;49
1271925250;1346086945;2;1;1;3084
1271925250;1346086945;3;1;1;286
1271925250;1346086945;4;4;2;96227
1271925250;1346086945;5;1;1;240
1271926250;1346086945;1;1;1;54
1271926250;1346086945;2;1;1;3219
1271926250;1346086945;3;1;1;421
1271926250;1346086945;4;4;2;96072
1271926250;1346086945;5;1;1;240
1271926463;1346086945;1;1;1;54
1271926463;1346086945;2;1;1;3247
1271926463;1346086945;3;1;1;449
1271926463;1346086945;4;4;2;96040
1271926463;1346086945;5;1;1;240
1271926663;1346086945;1;1;1;135
1271926663;1346086945;2;1;1;3274
1271926663;1346086945;3;1;1;476
1271926663;1346086945;4;4;2;96008
1271926663;1346086945;5;1;1;239
1271926830;1346086945;1;1;1;135
1271926830;1346086945;2;1;1;3303
1271926830;1346086945;3;1;1;505
1271926830;1346086945;4;4;2;95975
1271926830;1346086945;5;1;1;239
1271927250;1346086945;1;1;1;58
1271927250;1346086945;2;1;1;3377
1271927250;1346086945;3;1;1;579
1271927250;1346086945;4;4;2;95891
1271927250;1346086945;5;1;1;239
1271928650;1346086945;1;1;1;39
1271928652;1346086945;2;1;1;3523
1271928652;1346086945;3;1;1;725
1271928652;1346086945;4;4;2;95723
1271928652;1346086945;5;1;1;239
1271928864;1346086945;1;1;1;98
1271928864;1346086945;2;1;1;3539
1271928864;1346086945;3;1;1;741
1271928864;1346086945;4;4;2;95705
1271928864;1346086945;5;1;1;239
1271929030;1346086945;1;1;1;98
1271929030;1346086945;2;1;1;3552
1271929030;1346086945;3;1;1;754
1271929030;1346086945;4;4;2;95690
1271929030;1346086945;5;1;1;239
1271929850;1346086945;1;1;1;22
1271929850;1346086945;2;1;1;3581
1271929852;1346086945;3;1;1;783
1271929852;1346086945;4;4;2;95657
1271929852;1346086945;5;1;1;239
1271930063;1346086945;1;1;1;38
1271930063;1346086945;2;1;1;3584
1271930063;1346086945;3;1;1;786
1271930063;1346086945;4;4;2;95654
1271930063;1346086945;5;1;1;239
1271930231;1346086945;1;1;1;38
1271930231;1346086945;2;1;1;3584
1271930231;1346086945;3;1;1;786
1271930231;1346086945;4;4;2;95654
1271930231;1346086945;5;1;1;239
1271930431;1346086945;1;1;1;38
1271930431;1346086945;2;1;1;3583
1271930435;1346086945;3;1;1;785
1271930435;1346086945;4;4;2;95655
1271930435;1346086945;5;1;1;239
1271930631;1346086945;1;1;1;4294967294
1271930631;1346086945;2;1;1;3581
1271930631;1346086945;3;1;1;783
1271930631;1346086945;4;4;2;95657
1271930631;1346086945;5;1;1;239
