# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1241475494;1426827393;1;1;1;230
1241475494;1426827393;2;1;1;228
1241476248;1426827393;1;1;1;230
1241476248;1426827393;2;1;1;228
1241477241;1426827393;1;1;1;230
1241477241;1426827393;2;1;1;228
1241478241;1426827393;1;1;1;231
1241478242;1426827393;2;1;1;228
1241479254;1426827393;1;1;1;231
1241479254;1426827393;2;1;1;228
1241480021;1426827393;1;1;1;231
1241480021;1426827393;2;1;1;228
1241481042;1426827393;1;1;1;231
1241481042;1426827393;2;1;1;228
1241482248;1426827393;1;1;1;231
1241482248;1426827393;2;1;1;228
1241483041;1426827393;1;1;1;231
1241483041;1426827393;2;1;1;228
1241484033;1426827393;1;1;1;231
1241484033;1426827393;2;1;1;228
1241485021;1426827393;1;1;1;230
1241485021;1426827393;2;1;1;228
1241486021;1426827393;1;1;1;231
1241486022;1426827393;2;1;1;228
1241487046;1426827393;1;1;1;230
1241487046;1426827393;2;1;1;228
1241488021;1426827393;1;1;1;231
1241488021;1426827393;2;1;1;228
1241488821;1426827393;1;1;1;231
1241488821;1426827393;2;1;1;228
1241489841;1426827393;1;1;1;230
1241489841;1426827393;2;1;1;228
1241490621;1426827393;1;1;1;230
1241490621;1426827393;2;1;1;228
1241491621;1426827393;1;1;1;231
1241491621;1426827393;2;1;1;228
1241492648;1426827393;1;1;1;230
1241492648;1426827393;2;1;1;228
1241493648;1426827393;1;1;1;230
1241493649;1426827393;2;1;1;228
1241494641;1426827393;1;1;1;231
1241494641;1426827393;2;1;1;228
1241495641;1426827393;1;1;1;230
1241495641;1426827393;2;1;1;228
1241496641;1426827393;1;1;1;231
1241496641;1426827393;2;1;1;228
1241497626;1426827393;1;1;1;230
1241497626;1426827393;2;1;1;228
1241498421;1426827393;1;1;1;230
1241498421;1426827393;2;1;1;228
1241499421;1426827393;1;1;1;230
1241499421;1426827393;2;1;1;228
1241500421;1426827393;1;1;1;231
1241500421;1426827393;2;1;1;228
1241501441;1426827393;1;1;1;230
1241501442;1426827393;2;1;1;228
1241502221;1426827393;1;1;1;230
1241502221;1426827393;2;1;1;228
1241503221;1426827393;1;1;1;231
1241503221;1426827393;2;1;1;228
1241504248;1426827393;1;1;1;231
1241504248;1426827393;2;1;1;228
1241505248;1426827393;1;1;1;231
1241505248;1426827393;2;1;1;228
1241506241;1426827393;1;1;1;231
1241506241;1426827393;2;1;1;228
1241507241;1426827393;1;1;1;230
1241507241;1426827393;2;1;1;228
1241508060;1426827393;1;1;1;231
1241508060;1426827393;2;1;1;228
1241509028;1426827393;1;1;1;231
1241509029;1426827393;2;1;1;228
1241510021;1426827393;1;1;1;230
1241510021;1426827393;2;1;1;228
1241511033;1426827393;1;1;1;230
1241511033;1426827393;2;1;1;228
1241512021;1426827393;1;1;1;231
1241512021;1426827393;2;1;1;228
1241512823;1426827393;1;1;1;231
1241512823;1426827393;2;1;1;228
1241513821;1426827393;1;1;1;230
1241513821;1426827393;2;1;1;228
1241514821;1426827393;1;1;1;231
1241514821;1426827393;2;1;1;228
1241515848;1426827393;1;1;1;231
1241515848;1426827393;2;1;1;228
1241516841;1426827393;1;1;1;230
1241516842;1426827393;2;1;1;228
1241517841;1426827393;1;1;1;230
1241517841;1426827393;2;1;1;228
1241518821;1426827393;2;1;1;228
1241518841;1426827393;1;1;1;230
1241519622;1426827393;1;1;1;230
1241519622;1426827393;2;1;1;228
1241520622;1426827393;1;1;1;231
1241520622;1426827393;2;1;1;228
1241521648;1426827393;1;1;1;230
1241521648;1426827393;2;1;1;228
1241522621;1426827393;1;1;1;230
1241522621;1426827393;2;1;1;228
1241523621;1426827393;1;1;1;230
1241523621;1426827393;2;1;1;228
1241524421;1426827393;1;1;1;230
1241524422;1426827393;2;1;1;228
1241525428;1426827393;1;1;1;231
1241525428;1426827393;2;1;1;228
1241526428;1426827393;1;1;1;230
1241526428;1426827393;2;1;1;228
1241527448;1426827393;1;1;1;231
1241527448;1426827393;2;1;1;228
1241528441;1426827393;1;1;1;231
1241528441;1426827393;2;1;1;228
1241529441;1426827393;1;1;1;230
1241529441;1426827393;2;1;1;228
1241530221;1426827393;1;1;1;231
1241530221;1426827393;2;1;1;228
1241531221;1426827393;1;1;1;231
1241531221;1426827393;2;1;1;228
1241532222;1426827393;1;1;1;231
1241532225;1426827393;2;1;1;228
1241533248;1426827393;1;1;1;230
1241533248;1426827393;2;1;1;228
1241534041;1426827393;1;1;1;230
1241534041;1426827393;2;1;1;228
1241535036;1426827393;1;1;1;230
1241535036;1426827393;2;1;1;228
1241536021;1426827393;1;1;1;231
1241536021;1426827393;2;1;1;228
1241537028;1426827393;1;1;1;230
1241537028;1426827393;2;1;1;228
1241538046;1426827393;1;1;1;230
1241538046;1426827393;2;1;1;228
1241538821;1426827393;1;1;1;230
1241538821;1426827393;2;1;1;228
1241539821;1426827393;1;1;1;230
1241539822;1426827393;2;1;1;228
1241540841;1426827393;1;1;1;230
1241540841;1426827393;2;1;1;228
1241541841;1426827393;1;1;1;230
1241541841;1426827393;2;1;1;228
1241542828;1426827393;1;1;1;231
1241542828;1426827393;2;1;1;228
1241543821;1426827393;1;1;1;230
1241543821;1426827393;2;1;1;228
1241544641;1426827393;1;1;1;230
1241544641;1426827393;2;1;1;228
1241545621;1426827393;1;1;1;230
1241545621;1426827393;2;1;1;228
1241546641;1426827393;1;1;1;230
1241546641;1426827393;2;1;1;228
1241547621;1426827393;1;1;1;230
1241547623;1426827393;2;1;1;228
1241548628;1426827393;1;1;1;230
1241548628;1426827393;2;1;1;228
1241549421;1426827393;1;1;1;231
1241549421;1426827393;2;1;1;228
1241550421;1426827393;1;1;1;230
1241550421;1426827393;2;1;1;228
1241551421;1426827393;1;1;1;230
1241551421;1426827393;2;1;1;228
1241552421;1426827393;1;1;1;230
1241552421;1426827393;2;1;1;228
1241553441;1426827393;1;1;1;230
1241553441;1426827393;2;1;1;228
1241554428;1426827393;1;1;1;230
1241554428;1426827393;2;1;1;228
1241555421;1426827393;1;1;1;230
1241555422;1426827393;2;1;1;228
1241556241;1426827393;1;1;1;231
1241556241;1426827393;2;1;1;228
1241557221;1426827393;1;1;1;231
