# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275043432;1346086945;3;1;1;868
1275043432;1346086945;4;4;2;95487
1275043432;1346086945;5;1;1;253
1275044030;1346086945;1;1;1;60
1275044030;1346086945;2;1;1;3734
1275044030;1346086945;3;1;1;940
1275044030;1346086945;4;4;2;95405
1275044030;1346086945;5;1;1;253
1275044231;1346086945;1;1;1;60
1275044231;1346086945;2;1;1;3758
1275044231;1346086945;3;1;1;964
1275044231;1346086945;4;4;2;95377
1275044231;1346086945;5;1;1;253
1275044467;1346086945;1;1;1;60
1275044467;1346086945;2;1;1;3785
1275044467;1346086945;3;1;1;991
1275044468;1346086945;4;4;2;95347
1275044468;1346086945;5;1;1;253
1275045665;1346086945;1;1;1;59
1275045665;1346086945;2;1;1;3896
1275045665;1346086945;3;1;1;1102
1275045665;1346086945;4;4;2;95220
1275045665;1346086945;5;1;1;253
1275046042;1346086945;1;1;1;107
1275046042;1346086945;2;1;1;3926
1275046042;1346086945;3;1;1;1132
1275046042;1346086945;4;4;2;95186
1275046042;1346086945;5;1;1;253
1275046866;1346086945;1;1;1;39
1275046866;1346086945;2;1;1;3959
1275046866;1346086945;3;1;1;1165
1275046866;1346086945;4;4;2;95148
1275046867;1346086945;5;1;1;253
1275047030;1346086945;1;1;1;2
1275047030;1346086945;2;1;1;3963
1275047030;1346086945;3;1;1;1169
1275047030;1346086945;4;4;2;95144
1275047030;1346086945;5;1;1;253
1275047240;1346086945;1;1;1;2
1275047240;1346086945;2;1;1;3965
1275047240;1346086945;3;1;1;1171
1275047240;1346086945;4;4;2;95142
1275047240;1346086945;5;1;1;253
1275047456;1346086945;1;1;1;2
1275047456;1346086945;2;1;1;3964
1275047456;1346086945;3;1;1;1170
1275047456;1346086945;4;4;2;95143
1275047456;1346086945;5;1;1;254
1275047631;1346086945;1;1;1;3
1275047631;1346086945;2;1;1;3957
1275047631;1346086945;3;1;1;1163
1275047631;1346086945;4;4;2;95151
1275047631;1346086945;5;1;1;254
1275048066;1346086945;1;1;1;3
1275048066;1346086945;2;1;1;3951
1275048066;1346086945;3;1;1;1157
1275048066;1346086945;4;4;2;95157
1275048066;1346086945;5;1;1;254
1275048230;1346086945;1;1;1;4294967291
1275048230;1346086945;2;1;1;3945
1275048230;1346086945;3;1;1;1151
1275048230;1346086945;4;4;2;95164
1275048230;1346086945;5;1;1;254
1275048438;1346086945;1;1;1;4294967291
1275048438;1346086945;2;1;1;3939
1275048438;1346086945;3;1;1;1145
1275048439;1346086945;4;4;2;95171
1275048439;1346086945;5;1;1;254
1275048656;1346086945;1;1;1;4294967291
1275048656;1346086945;2;1;1;3934
1275048656;1346086945;3;1;1;1140
1275048656;1346086945;4;4;2;95177
1275048656;1346086945;5;1;1;254
1275048831;1346086945;1;1;1;4294967275
1275048831;1346086945;2;1;1;3930
1275048831;1346086945;3;1;1;1136
1275048831;1346086945;4;4;2;95181
1275048831;1346086945;5;1;1;254
1275049031;1346086945;1;1;1;4294967275
1275049031;1346086945;2;1;1;3928
1275049031;1346086945;3;1;1;1134
1275049031;1346086945;4;4;2;95184
1275049031;1346086945;5;1;1;254
1275049266;1346086945;1;1;1;0
1275049267;1346086945;2;1;1;3928
1275049267;1346086945;3;1;1;1134
1275049267;1346086945;4;4;2;95184
1275049267;1346086945;5;1;1;254
1275049430;1346086945;1;1;1;0
1275049430;1346086945;2;1;1;3928
1275049430;1346086945;3;1;1;1134
1275049430;1346086945;4;4;2;95184
1275049430;1346086945;5;1;1;254
1275049634;1346086945;1;1;1;0
1275049636;1346086945;2;1;1;3929
1275049636;1346086945;3;1;1;1135
1275049636;1346086945;4;4;2;95183
1275049636;1346086945;5;1;1;254
1275049855;1346086945;1;1;1;2
1275049855;1346086945;2;1;1;3932
1275049855;1346086945;3;1;1;1138
1275049855;1346086945;4;4;2;95179
1275049856;1346086945;5;1;1;254
1275050031;1346086945;1;1;1;2
1275050031;1346086945;2;1;1;3936
1275050031;1346086945;3;1;1;1142
1275050031;1346086945;4;4;2;95175
1275050031;1346086945;5;1;1;254
1275050231;1346086945;1;1;1;2
1275050231;1346086945;2;1;1;3940
1275050232;1346086945;3;1;1;1146
1275050232;1346086945;4;4;2;95170
1275050232;1346086945;5;1;1;254
1275050463;1346086945;1;1;1;5
1275050463;1346086945;2;1;1;3944
1275050463;1346086945;3;1;1;1150
1275050463;1346086945;4;4;2;95165
1275050463;1346086945;5;1;1;254
1275050630;1346086945;1;1;1;5
1275050630;1346086945;2;1;1;3951
1275050630;1346086945;3;1;1;1157
1275050630;1346086945;4;4;2;95158
1275050630;1346086945;5;1;1;254
1275050830;1346086945;1;1;1;5
1275050830;1346086945;2;1;1;3956
1275050832;1346086945;3;1;1;1162
1275050832;1346086945;4;4;2;95152
1275050832;1346086945;5;1;1;254
1275051063;1346086945;1;1;1;20
1275051063;1346086945;2;1;1;3962
1275051063;1346086945;3;1;1;1168
1275051063;1346086945;4;4;2;95145
1275051063;1346086945;5;1;1;254
1275051231;1346086945;1;1;1;20
1275051231;1346086945;2;1;1;3968
1275051231;1346086945;3;1;1;1174
1275051231;1346086945;4;4;2;95138
1275051231;1346086945;5;1;1;254
1275051658;1346086945;1;1;1;10
1275051658;1346086945;2;1;1;3981
1275051658;1346086945;3;1;1;1187
1275051660;1346086945;4;4;2;95124
1275051660;1346086945;5;1;1;254
1275052027;1346086945;1;1;1;10
